order_number,quantity,price_per,order_line_num,sales,order_date,product_name,msrp,cust_name,address1,address2,city,state,zip_code,country,territory
10000,30,95.7,2,2871,2/24/2003,Motorcycles,95,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10001,34,81.35,5,2765.9,5/7/2003,Motorcycles,95,Reims Collectables,59 rue de l'Abbaye,,Reims,,51100,France,EMEA
10002,41,94.74,2,3884.34,7/1/2003,Motorcycles,95,Lyon Souveniers,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA
10003,45,83.26,6,3746.7,8/25/2003,Motorcycles,95,Toys4GrownUps.com,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA
10004,49,100,14,5205.27,10/10/2003,Motorcycles,95,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10005,36,96.66,1,3479.76,10/28/2003,Motorcycles,95,Technics Stores Inc.,9408 Furth Circle,,Burlingame,CA,94217,USA,NA
10006,29,86.13,9,2497.77,11/11/2003,Motorcycles,95,Daedalus Designs Imports,"184, chausse de Tournai",,Lille,,59000,France,EMEA
10007,48,100,1,5512.32,11/18/2003,Motorcycles,95,Herkku Gifts,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA
10008,22,98.57,2,2168.54,12/1/2003,Motorcycles,95,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,CA,,USA,NA
10009,41,100,14,4708.44,1/15/2004,Motorcycles,95,Auto Canal Petit,"25, rue Lauriston",,Paris,,75016,France,EMEA
10010,37,100,1,3965.66,2/20/2004,Motorcycles,95,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10011,23,100,7,2333.12,4/5/2004,Motorcycles,95,Vitachrome Inc.,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA
10012,28,100,2,3188.64,5/18/2004,Motorcycles,95,Tekni Collectables Inc.,7476 Moss Rd.,,Newark,NJ,94019,USA,NA
10013,34,100,2,3676.76,6/28/2004,Motorcycles,95,Gift Depot Inc.,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA
10014,45,92.83,1,4177.35,7/23/2004,Motorcycles,95,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
10015,36,100,6,4099.68,8/27/2004,Motorcycles,95,Marta's Replicas Co.,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA
10016,23,100,9,2597.39,9/30/2004,Motorcycles,95,"Toys of Finland, Co.",Keskuskatu 45,,Helsinki,,21240,Finland,EMEA
10017,41,100,5,4394.38,10/15/2004,Motorcycles,95,Baane Mini Imports,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
10018,46,94.74,1,4358.04,11/2/2004,Motorcycles,95,Diecast Classics Inc.,7586 Pompton St.,,Allentown,PA,70267,USA,NA
10019,42,100,1,4396.14,11/15/2004,Motorcycles,95,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10020,41,100,9,7737.93,11/24/2004,Motorcycles,95,Salzburg Collectables,Geislweg 14,,Salzburg,,5020,Austria,EMEA
10021,20,72.55,13,1451,12/17/2004,Motorcycles,95,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC
10022,21,34.91,12,733.11,2/3/2005,Motorcycles,95,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
10023,42,76.36,4,3207.12,3/3/2005,Motorcycles,95,FunGiftIdeas.com,1785 First Street,,New Bedford,MA,50553,USA,NA
10024,24,100,7,2434.56,4/8/2005,Motorcycles,95,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA
10025,66,100,2,7516.08,5/13/2005,Motorcycles,95,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
10026,26,100,11,5404.62,1/29/2003,Classic Cars,214,Baane Mini Imports,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
10027,29,100,1,7209.11,3/24/2003,Classic Cars,214,"Volvo Model Replicas, Co",Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA
10028,38,100,11,7329.06,5/28/2003,Classic Cars,214,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",,Madrid,,28023,Spain,EMEA
